,COVID,household,time_of_day,daily_sum
0,False,0,night,0.1622241719710076
1,False,0,morning,0.10329655347437128
2,False,0,afternoon,-0.057359511200691014
3,False,0,evening,0.13342793127377575
4,False,1,night,-0.05012949951614266
5,False,1,morning,-1.6292369422535737
6,False,1,afternoon,-1.2784705919384363
7,False,1,evening,-0.42693019664502324
8,False,2,night,0.9684482806679846
9,False,2,morning,-0.6321735267188712
10,False,2,afternoon,-0.8985532241657768
11,False,2,evening,-1.3908880394825525
12,False,3,night,0.5221456490678725
13,False,3,morning,0.7836063776531207
14,False,3,afternoon,0.8354099820929964
15,False,3,evening,-0.1829261510702551
16,False,4,night,-0.05690090357677867
17,False,4,morning,-0.12333889756950248
18,False,4,afternoon,-0.00022286480460496843
19,False,4,evening,0.2876915154197327
20,False,5,night,-0.04293106997420526
21,False,5,morning,0.2537336153320799
22,False,5,afternoon,-0.26148337419135537
23,False,5,evening,0.20435933987109214
24,False,6,night,0.0038587220483869604
25,False,6,morning,-0.6405311412665217
26,False,6,afternoon,-0.7104105888825668
27,False,6,evening,-0.38366203740066024
28,False,7,night,3.761438942939654
29,False,7,morning,-1.581598539331966
30,False,7,afternoon,-0.8019394384798041
31,False,7,evening,-0.4184184276133454
32,False,8,night,-0.17610201650004528
33,False,8,morning,-0.7065562961929603
34,False,8,afternoon,-1.4404621273367213
35,False,8,evening,-1.258955619491544
36,False,9,night,-0.1940980903548886
37,False,9,morning,-0.26276696371271985
38,False,9,afternoon,-0.2280680798939512
39,False,9,evening,-1.0873016106860385
40,False,10,night,-0.6736934585864607
41,False,10,morning,-1.0918423268396478
42,False,10,afternoon,-1.5654062712313628
43,False,10,evening,-0.8801818975818749
44,False,11,night,-0.931937118403461
45,False,11,morning,0.2060952124104721
46,False,11,afternoon,-0.6464856780527505
47,False,11,evening,-1.1241859431566432
48,False,12,night,-0.1401098687903587
49,False,12,morning,-1.283231699980844
50,False,12,afternoon,-1.0118746570004515
51,False,12,evening,-1.2525717927177857
52,False,13,night,0.029053225445167565
53,False,13,morning,1.2591546454144336
54,False,13,afternoon,1.4281682461512946
55,False,13,evening,0.6136335674776076
56,False,14,night,-0.2372886676065122
57,False,14,morning,0.3414885680824099
58,False,14,afternoon,0.18671742105860825
59,False,14,evening,0.03341464515155979
60,False,15,night,0.05424772884194817
61,False,15,morning,0.771069955831645
62,False,15,afternoon,1.0271847145824462
63,False,15,evening,1.5804286666590293
64,False,16,night,-0.06777270917775363
65,False,16,morning,-1.5248978602439844
66,False,16,afternoon,-1.2705079172939882
67,False,16,evening,-0.8331489174196542
68,False,17,night,-0.2480863119194181
69,False,17,morning,-0.6647682234547081
70,False,17,afternoon,-0.4997489509206717
71,False,17,evening,-0.33684730772643157
72,False,18,night,0.4429629241065621
73,False,18,morning,0.6457057376168877
74,False,18,afternoon,-0.3704462903785424
75,False,18,evening,-0.5482229053464344
76,False,19,night,-0.10051850630970367
77,False,19,morning,-0.03126104074280155
78,False,19,afternoon,0.12206609078754374
79,False,19,evening,-0.2644972709571689
80,False,20,night,-0.09332007676776627
81,False,20,morning,0.6181256096096411
82,False,20,afternoon,-0.14380342470919286
83,False,20,evening,0.43559573189834383
84,True,0,night,-0.14010165140503694
85,True,0,morning,0.6352339137270462
86,True,0,afternoon,0.4393869997222581
87,True,0,evening,1.1054910640663183
88,True,1,night,0.347624819602502
89,True,1,morning,-1.6482228474474374
90,True,1,afternoon,-1.295037267277764
91,True,1,evening,-0.08734688770464757
92,True,2,night,-0.513039466851706
93,True,2,morning,0.2528730481720366
94,True,2,afternoon,0.8082455436724494
95,True,2,evening,-0.759386356516066
96,True,3,night,-0.5772008114446813
97,True,3,morning,0.045455373158633884
98,True,3,afternoon,-0.18451608325657629
99,True,3,evening,-0.5119280485089217
100,True,4,night,-0.07602385022950035
101,True,4,morning,0.16612569468953267
102,True,4,afternoon,0.5936448419585002
103,True,4,evening,1.3946424347133612
104,True,5,night,-0.34210963477198264
105,True,5,morning,0.6246418775731629
106,True,5,afternoon,0.38010254915867825
107,True,5,evening,0.9981109519690063
108,True,6,night,-0.5150445088702366
109,True,6,morning,-0.3246839122188183
110,True,6,afternoon,-0.25573835833637193
111,True,6,evening,0.13324169584024434
112,True,7,night,4.312595411246525
113,True,7,morning,-1.2855329061782106
114,True,7,afternoon,-0.7127142340969351
115,True,7,evening,-0.2025310741862163
116,True,8,night,-0.6579037526905333
117,True,8,morning,-0.22563091477975802
118,True,8,afternoon,-1.0073154628360896
119,True,8,evening,-0.9818518693432473
120,True,9,night,-0.7032061153830843
121,True,9,morning,0.09918704300458467
122,True,9,afternoon,-0.011978373041926714
123,True,9,evening,-0.9998415758687279
124,True,10,night,0.3372761416327184
125,True,10,morning,0.3118858210293853
126,True,10,afternoon,0.5831467339387204
127,True,10,evening,0.5721467906409395
128,True,11,night,-0.991089430726337
129,True,11,morning,1.2381652024865437
130,True,11,afternoon,0.6626647853772424
131,True,11,evening,-0.7734139332573892
132,True,12,night,-0.6483798031025134
133,True,12,morning,-1.6422866513611953
