,Period,household,Occupancy,daily_sum
0,P1,0,Multiple,153.80327868852459
1,P1,1,Multiple,78.34426229508196
2,P1,2,Single,88.8360655737705
3,P1,3,Multiple,181.62295081967216
4,P1,4,Multiple,150.6949152542373
5,P1,5,Multiple,152.85245901639345
6,P1,6,Multiple,111.80327868852459
7,P1,7,Single,115.14035087719299
8,P1,8,Single,72.98360655737704
9,P1,9,Multiple,112.93442622950819
10,P1,10,Multiple,69.06557377049181
11,P1,11,Multiple,108.47540983606558
12,P1,12,Multiple,71.65573770491804
13,P1,13,Multiple,220.49180327868854
14,P1,14,Multiple,159.85245901639345
15,P1,15,Multiple,224.32786885245903
16,P1,16,Single,83.56818181818181
17,P1,17,Multiple,116.01639344262296
18,P1,18,Single,142.9016393442623
19,P1,19,Multiple,144.81967213114754
20,P1,20,Multiple,167.7704918032787
21,P2,0,Multiple,170.0
22,P2,1,Multiple,105.35849056603774
23,P2,2,Single,147.54716981132077
24,P2,3,Multiple,166.86274509803923
25,P2,4,Multiple,208.64583333333331
26,P2,5,Multiple,191.9811320754717
27,P2,6,Multiple,136.69811320754718
28,P2,7,Single,123.39622641509435
29,P2,8,Single,93.8679245283019
30,P2,9,Multiple,167.22641509433964
31,P2,10,Multiple,167.75555555555553
32,P2,11,Multiple,161.16981132075472
33,P2,12,Multiple,58.67924528301887
34,P2,13,Multiple,319.52830188679246
35,P2,14,Multiple,232.67924528301887
36,P2,15,Multiple,302.35849056603774
37,P2,16,Single,120.15384615384616
38,P2,17,Multiple,174.7358490566038
39,P2,18,Single,178.58490566037736
40,P2,19,Multiple,177.73584905660377
41,P2,20,Multiple,275.07547169811323
42,P3,0,Multiple,227.5
43,P3,1,Multiple,120.39285714285715
44,P3,2,Single,187.6265060240964
45,P3,3,Multiple,125.85483870967741
46,P3,4,Multiple,219.35714285714286
47,P3,5,Multiple,227.92857142857144
48,P3,6,Multiple,147.72619047619048
49,P3,7,Single,144.54761904761904
50,P3,8,Single,109.94047619047619
51,P3,9,Multiple,154.46875
52,P3,10,Multiple,175.3095238095238
53,P3,11,Multiple,179.47619047619045
54,P3,12,Multiple,50.547619047619044
