,Period,household,time_of_day,daily_sum
0,P1,0,night,0.25987834431431056
1,P1,0,morning,-0.15672712476331735
2,P1,0,afternoon,-0.32403801607646576
3,P1,0,evening,-0.05682374336011886
4,P1,1,night,0.08738541983514732
5,P1,1,morning,-1.636875341486232
6,P1,1,afternoon,-1.389330134678533
7,P1,1,evening,-0.550262500531817
8,P1,2,night,0.9147667355572351
9,P1,2,morning,-0.7850582539076323
10,P1,2,afternoon,-1.057891837219353
11,P1,2,evening,-1.3991020840714858
12,P1,3,night,0.5522392332620448
13,P1,3,morning,0.42447916969517413
14,P1,3,afternoon,0.454810296690899
15,P1,3,evening,-0.33539802905452065
16,P1,4,night,0.08188507090748649
17,P1,4,morning,-0.350347657662647
18,P1,4,afternoon,-0.2741922485216171
19,P1,4,evening,0.07901729729819225
20,P1,5,night,0.0932326376141021
21,P1,5,morning,-0.02820484834743477
22,P1,5,afternoon,-0.5021148068719334
23,P1,5,evening,0.005636858813513884
24,P1,6,night,0.13123955317730737
25,P1,6,morning,-0.7921983803751814
26,P1,6,afternoon,-0.8937570015751323
27,P1,6,evening,-0.5121615332059011
28,P1,7,night,3.1834872337916518
29,P1,7,morning,-1.596176620621203
30,P1,7,afternoon,-0.9736063810777262
31,P1,7,evening,-0.5427672282709812
32,P1,8,night,-0.014940891296559625
33,P1,8,morning,-0.8486053794688186
34,P1,8,afternoon,-1.5306508618934414
35,P1,8,evening,-1.282925364028529
36,P1,9,night,-0.02955893574394639
37,P1,9,morning,-0.4694646640419651
38,P1,9,afternoon,-0.4729634461011451
39,P1,9,evening,-1.1317707067683376
40,P1,10,night,-0.41912982026680207
41,P1,10,morning,-1.1777652096228293
42,P1,10,afternoon,-1.6396516021668235
43,P1,10,evening,-0.9493857484213302
44,P1,11,night,-0.6288987580868013
45,P1,11,morning,-0.06890356921246431
46,P1,11,afternoon,-0.8379891809701462
47,P1,11,evening,-1.1642502198986266
48,P1,12,night,0.014295197598213901
49,P1,12,morning,-1.3412741057297022
50,P1,12,afternoon,-1.1567529737463744
51,P1,12,evening,-1.2773039098329018
52,P1,13,night,0.15170481540364883
53,P1,13,morning,0.8307523656987147
54,P1,13,afternoon,0.9719300877553166
55,P1,13,evening,0.36603453335537467
56,P1,14,night,-0.06464224241767437
57,P1,14,morning,0.04676647956183001
58,P1,14,afternoon,-0.11110633740288203
59,P1,14,evening,-0.1448931924249409
60,P1,15,night,0.1721700776299903
61,P1,15,morning,0.41376897999385065
62,P1,15,afternoon,0.6221137585058579
63,P1,15,evening,1.2173725409819882
64,P1,16,night,0.07305400371025843
65,P1,16,morning,-1.547735762625674
66,P1,16,afternoon,-1.3823835311503767
67,P1,16,evening,-0.907969564518506
68,P1,17,night,-0.07341306908610637
69,P1,17,morning,-0.8129047471310736
70,P1,17,afternoon,-0.7099766836723369
71,P1,17,evening,-0.47093753577130365
72,P1,18,night,0.4879198376935432
73,P1,18,morning,0.30666708298061507
74,P1,18,afternoon,-0.5971735919940688
75,P1,18,evening,-0.6570701302487291
76,P1,19,night,0.04645489538246458
77,P1,19,morning,-0.27168316089085687
78,P1,19,afternoon,-0.16750788324201593
79,P1,19,evening,-0.4072277215541983
80,P1,20,night,0.05230211316141934
81,P1,20,morning,0.2831046656377033
82,P1,20,afternoon,-0.39945131894002667
83,P1,20,evening,0.20925842189955682
84,P2,0,night,0.029244216636862188
85,P2,0,morning,-0.15938109629936828
86,P2,0,afternoon,-0.11171614847725037
87,P2,0,evening,0.4026152331944231
88,P2,1,night,0.10663710856019629
89,P2,1,morning,-1.4019247648936752
90,P2,1,afternoon,-1.0394898912692945
